teamName,cityPopulation,teamSpending,taxRate,avgTemp,managementRank,luxuryTaxSpace,milesTraveled,fanAttendance,netRTG,averageTicketPrice,regWins,madePlayoff,seed,crime index
Oklahoma City Thunder,1410000,77876390,0.05,59.6,6.45,-1962633,47676,"746,323",1.3,NA,45,no,0,442.8
Orlando Magic,2130000,41311716,0,70.7,4.71,20812025,49829,"688,194",-5.6,NA,25,no,0,565.9
Philadelphia 76ers,4000000,34387296,0.0307,48.8,5.15,19905944,41552,"571,572",-9.1,NA,18,no,0,485.9
Phoenix Suns,4500000,55464385,0.0454,60.3,5.5,16591732,52926,"693,862",-0.5,NA,39,no,0,373.3
Portland Trail Blazers,2400000,72964755,0.099,48.4,7.46,3834245,64576,"801,733",4.2,NA,51,yes,4,393
Sacramento Kings,2660000,73061908,0.133,59.4,4.63,2652257,53324,"680,049",-4,NA,29,no ,0,381.5
San Antonio Spurs,2195000,69028330,0,64.8,9.71,6449767,45426,"762,855",6.6,NA,55,yes,6,427.5
Toronto Raptors,5500000,75424914,0.21,38,6.84,732477,44687,"809,824",3.2,NA,49,yes,4,NA
Utah Jazz,2400000,47940340,0.05,48.6,6.33,17923382,49991,"772,059",0.5,NA,38,no,0,744.8
Washington Wizards,5700000,72952787,0.0895,50,5,3326319,40026,"747,796",1.9,NA,46,yes,5,591.5
Atlanta Hawks,5800000,55517146,0.06,63.5,NA,13270441,48077,"587,927",-0.7,76.51,38,yes,8,656
Boston Celtics,4700000,69955361,0.051,47.9,NA,1103850,48768,"742,400",-5.5,126.19,25,no,0,338.1
Brooklyn Nets,2600000,102766374,0.0882,45.4,NA,-31180076,42485,"707,331",-0.6,164.3,44,yes,6,234.8
Charlotte Hornets,2400000,49359172,0.05449,59,NA,8923323,46329,"636,268",0.1,64.04,43,yes,7,287.4
Chicago Bulls,9500000,63312273,0.0495,51.8,NA,674374,44202,"890,370",1.9,160.07,48,yes,4,425.4
Cleveland Cavaliers,2000000,66063984,0.4997,50.7,NA,5568680,40863,"710,522",-3.5,139.98,33,no,0,819.1
